activityLoop_id,action_
1,ACTION_LEARN_CURRICULUM
2,ACTION_THREE_CORRECT_CONSECUTIVE_ANSWERS
3,ACTION_FIVE_CORRECT_CONSECUTIVE_ANSWERS
4,ACTION_SOLVE_PROBLEM_CORRECTLY
5,ACTION_WATCH_VIDEO_COMPLETALY
6,ACTION_SOLVE_TEST
7,ACTION_COMPLETE_CLASS
8,ACTION_COMPLETE_EXERCISE
9,ACTION_COMPLETE_SUBASSUNTO
12,ACTION_COMPLETE_COURSE
10,ACTION_LEARN_SUBASSUNTO_THREE_CONSECUTIVE_DAYS
11,ACTION_LEARN_SUBASSUNTO_SIX_CONSECUTIVE_DAYS
13,ACTION_COMPLETE_ALL_COURSES
14,ACTION_UP_LEVEL
15,ACTION_MAX_LEVEL_ACHIEVED
16,ACTION_FIRST_TEST_COMPLETED
17,ACTION_ONE_HOUR_ON_SYSTEM
18,ACTION_ALL_TESTS_COMPLETED
19,ACTION_ALL_BADGES_ACHIEVED
20,ACTION_FIRST_SILVER_MEDAL_ACHIEVED
21,ACTION_FIRST_GOLD_MEDAL_ACHIEVED
22,ACTION_FIRST_COMMENT_SYSTEM
